Category,Company/Product,Key Features or Use Cases
AI Models and Frameworks,Anthropic (Claude),"Full MCP support in the desktop version, enabling interaction with external tools."
AI Models and Frameworks,OpenAI,"MCP support integrated across products and within the Agent SDK for seamless interoperability."
AI Models and Frameworks,Google DeepMind,"Added MCP protocol support for the Gemini model family, enabling standardized tool invocation."
AI Models and Frameworks,Baidu Maps,"API integration using MCP to access geolocation and spatial services."
AI Models and Frameworks,Blender MCP,"Enables Blender and Unity 3D model generation via natural language commands."
Developer Tools,Replit,"AI-assisted development environment with integrated MCP tools."
Developer Tools,Microsoft Copilot Studio,"Officially announced MCP support in March 2025, enabling unified tool integration."
Developer Tools,Sourcegraph Cody,"Implements MCP through OpenCTX for resource integration."
Developer Tools,Codeium,"Adds MCP support for coding assistants to facilitate cross-system tasks."
Developer Tools,Cursor,"MCP tool integration in Cursor Composer for seamless code execution."
Developer Tools,Cline,"VS Code coding agent that manages MCP tools and servers."
IDEs/Editors,Zed,"Provides slash commands and tool integration based on MCP."
IDEs/Editors,JetBrains,"Integrates MCP for IDE-based AI tooling."
IDEs/Editors,Windsurf Editor,"AI-assisted IDE with MCP tool interaction."
IDEs/Editors,TheiaAI/TheiaIDE,"Enables MCP server interaction for AI-powered tools."
IDEs/Editors,Emacs MCP,"Enhances AI functionality in Emacs by supporting MCP tool invocation."
IDEs/Editors,OpenSumi,"Supports MCP tools in IDEs and enables seamless AI tool integration."
Cloud Platforms and Services,Cloudflare,"Provides remote MCP server hosting, OAuth integration, and scalable multi-tenant infrastructure."
Cloud Platforms and Services,Tencent Cloud,"Added MCP plugin and transport support, enabling AI SDK-level integration."
Cloud Platforms and Services,Alibaba Cloud Bailian,"Introduced full lifecycle MCP service for large-scale batch integration."
Cloud Platforms and Services,Huawei Cloud,"Launched AI-native run platform with built-in MCP module to accelerate trusted AI deployment."
Cloud Platforms and Services,Block (Square),"Uses MCP to enhance data processing efficiency for financial platforms."
Cloud Platforms and Services,Stripe,"Exposes payment APIs via MCP for seamless AI integration."
Cloud Platforms and Services,Alipay / Ant Group,"Released 'Alipay MCP Server' and 'MCP Zone', offering unified payment and tool orchestration."
Web Automation and Data,Apify MCP Tester,"Connects to any MCP server using SSE for API testing."
Web Automation and Data,LibreChat,"Extends the current tool ecosystem through MCP integration."
Web Automation and Data,Baidu Create Conference,"Established a dedicated MCP ecosystem forum to promote developer collaboration."